,frame_id,object_id,x_coordinate,y_coordinate,width,height,confidence,x_init,y_init,z_init,video_id
0,0,-1,1689,385,146.62,332.71,67.567,-1,-1,-1,0
1,0,-1,1303,503,61.514,139.59,29.439,-1,-1,-1,0
2,0,-1,1258,569,40.123,91.049,19.601,-1,-1,-1,0
3,0,-1,31,525,113.37,257.27,17.013,-1,-1,-1,0
4,0,-1,1800,483,94.66,214.81,11.949,-1,-1,-1,0
5,1,-1,1689,385,146.62,332.71,66.725,-1,-1,-1,0
6,1,-1,1312,503,61.514,139.59,36.614,-1,-1,-1,0
7,1,-1,1744,476,123.42,280.06,16.976,-1,-1,-1,0
8,1,-1,1254,537,52.0,118.0,15.979,-1,-1,-1,0
9,1,-1,55,542,94.66,214.81,9.3326,-1,-1,-1,0
10,1,-1,1641,494,40.123,91.049,6.0638,-1,-1,-1,0
11,2,-1,1742,513,94.66,214.81,64.803,-1,-1,-1,0
12,2,-1,1664,418,135.42,307.29,31.198,-1,-1,-1,0
13,2,-1,1312,503,61.514,139.59,30.007,-1,-1,-1,0
14,2,-1,1776,473,113.37,257.27,14.299,-1,-1,-1,0
15,2,-1,1234,415,103.17,234.13,12.991,-1,-1,-1,0
16,2,-1,107,494,103.17,234.13,11.712,-1,-1,-1,0
17,2,-1,51,555,87.838,199.32,3.7319,-1,-1,-1,0
18,3,-1,1668,371,159.84,362.7,53.87,-1,-1,-1,0
19,3,-1,1759,473,113.37,257.27,34.214,-1,-1,-1,0
20,3,-1,1852,505,30.903,70.127,24.793,-1,-1,-1,0
21,3,-1,1305,500,67.474,153.11,21.299,-1,-1,-1,0
22,3,-1,107,494,103.17,234.13,15.325,-1,-1,-1,0
23,3,-1,58,566,79.918,181.35,3.316,-1,-1,-1,0
24,4,-1,1692,371,159.84,362.7,52.074,-1,-1,-1,0
25,4,-1,1848,505,30.903,70.127,36.829,-1,-1,-1,0
26,4,-1,1318,537,52.0,118.0,25.687,-1,-1,-1,0
27,4,-1,1643,396,159.84,362.7,11.573,-1,-1,-1,0
28,5,-1,1666,385,146.62,332.71,52.587,-1,-1,-1,0
29,5,-1,1849,510,28.302,64.224,35.023,-1,-1,-1,0
30,5,-1,1333,498,56.686,128.63,30.194,-1,-1,-1,0
31,5,-1,1318,537,52.0,118.0,30.132,-1,-1,-1,0
32,5,-1,1741,473,113.37,257.27,29.672,-1,-1,-1,0
33,5,-1,107,494,103.17,234.13,20.212,-1,-1,-1,0
34,6,-1,1668,371,159.84,362.7,49.716,-1,-1,-1,0
35,6,-1,1849,510,28.302,64.224,35.359,-1,-1,-1,0
36,6,-1,1316,489,67.474,153.11,28.89,-1,-1,-1,0
37,6,-1,1351,506,56.686,128.63,10.428,-1,-1,-1,0
38,6,-1,159,550,40.123,91.049,7.9165,-1,-1,-1,0
39,6,-1,1263,545,47.794,108.46,4.7235,-1,-1,-1,0
40,7,-1,1668,371,159.84,362.7,50.69,-1,-1,-1,0
41,7,-1,1322,494,61.514,139.59,38.787,-1,-1,-1,0
42,7,-1,1848,505,30.903,70.127,24.904,-1,-1,-1,0
43,7,-1,123,494,103.17,234.13,15.789,-1,-1,-1,0
44,7,-1,257,455,113.37,257.27,10.617,-1,-1,-1,0
45,8,-1,1666,385,146.62,332.71,59.031,-1,-1,-1,0
46,8,-1,1326,489,67.474,153.11,41.687,-1,-1,-1,0
47,8,-1,1848,505,30.903,70.127,30.606,-1,-1,-1,0
48,8,-1,1727,418,135.42,307.29,25.474,-1,-1,-1,0
49,8,-1,142,521,52.0,118.0,17.685,-1,-1,-1,0
50,8,-1,1274,551,43.624,98.993,14.674,-1,-1,-1,0
51,8,-1,266,463,103.17,234.13,13.241,-1,-1,-1,0
52,9,-1,1689,385,146.62,332.71,64.395,-1,-1,-1,0
53,9,-1,1326,500,67.474,153.11,44.719,-1,-1,-1,0
54,9,-1,146,515,56.686,128.63,17.341,-1,-1,-1,0
55,9,-1,266,463,103.17,234.13,16.724,-1,-1,-1,0
56,9,-1,1278,545,47.794,108.46,11.888,-1,-1,-1,0
57,9,-1,1849,510,28.302,64.224,8.1416,-1,-1,-1,0
58,10,-1,1689,385,146.62,332.71,58.138,-1,-1,-1,0
59,10,-1,1326,500,67.474,153.11,38.028,-1,-1,-1,0
60,10,-1,266,463,103.17,234.13,13.404,-1,-1,-1,0
61,10,-1,1278,545,47.794,108.46,10.318,-1,-1,-1,0
62,10,-1,171,481,26.0,59.0,6.3,-1,-1,-1,0
63,10,-1,1844,367,94.66,214.81,3.7102,-1,-1,-1,0
64,11,-1,1689,408,146.62,332.71,51.907,-1,-1,-1,0
65,11,-1,1326,490,73.864,167.61,39.416,-1,-1,-1,0
66,11,-1,-8,290,207.45,470.74,13.35,-1,-1,-1,0
67,11,-1,1837,351,103.17,234.13,8.3539,-1,-1,-1,0
68,11,-1,1619,396,159.84,362.7,0.28414,-1,-1,-1,0
69,12,-1,1689,385,146.62,332.71,54.748,-1,-1,-1,0
70,12,-1,1326,490,73.864,167.61,35.028,-1,-1,-1,0
71,12,-1,1643,408,146.62,332.71,28.729,-1,-1,-1,0
72,12,-1,151,501,28.302,64.224,15.713,-1,-1,-1,0
73,12,-1,1286,545,47.794,108.46,12.469,-1,-1,-1,0
74,12,-1,1867,391,30.903,70.127,4.4389,-1,-1,-1,0
75,13,-1,1668,371,159.84,362.7,53.078,-1,-1,-1,0
76,13,-1,1326,490,73.864,167.61,34.284,-1,-1,-1,0
77,13,-1,1717,396,159.84,362.7,23.699,-1,-1,-1,0
78,13,-1,-52,254,270.83,614.58,17.787,-1,-1,-1,0
79,13,-1,1619,396,159.84,362.7,15.437,-1,-1,-1,0
80,13,-1,1867,391,30.903,70.127,7.0697,-1,-1,-1,0
81,14,-1,1668,371,159.84,362.7,56.775,-1,-1,-1,0
82,14,-1,1825,535,33.737,76.557,40.166,-1,-1,-1,0
83,14,-1,1336,500,67.474,153.11,36.203,-1,-1,-1,0
84,14,-1,-52,254,270.83,614.58,25.027,-1,-1,-1,0
85,14,-1,1619,396,159.84,362.7,7.1656,-1,-1,-1,0
86,14,-1,1867,393,26.0,59.0,4.8067,-1,-1,-1,0
87,15,-1,1668,371,159.84,362.7,58.304,-1,-1,-1,0
88,15,-1,1834,532,36.723,83.333,49.653,-1,-1,-1,0
89,15,-1,1336,500,67.474,153.11,44.973,-1,-1,-1,0
90,15,-1,-52,254,270.83,614.58,39.898,-1,-1,-1,0
91,15,-1,1619,396,159.84,362.7,10.224,-1,-1,-1,0
92,15,-1,1320,462,30.903,70.127,1.3394,-1,-1,-1,0
93,16,-1,1666,385,146.62,332.71,65.522,-1,-1,-1,0
94,16,-1,1336,500,67.474,153.11,46.265,-1,-1,-1,0
95,16,-1,1711,408,146.62,332.71,38.159,-1,-1,-1,0
96,16,-1,-52,254,270.83,614.58,34.544,-1,-1,-1,0
97,17,-1,1666,408,146.62,332.71,66.036,-1,-1,-1,0
98,17,-1,-52,254,270.83,614.58,44.021,-1,-1,-1,0
99,17,-1,1350,503,61.514,139.59,33.671,-1,-1,-1,0
100,17,-1,1594,396,159.84,362.7,22.94,-1,-1,-1,0
101,17,-1,1836,541,33.737,76.557,21.944,-1,-1,-1,0
102,17,-1,1295,461,87.838,199.32,17.9,-1,-1,-1,0
103,18,-1,1666,408,146.62,332.71,64.738,-1,-1,-1,0
104,18,-1,-52,254,270.83,614.58,56.379,-1,-1,-1,0
105,18,-1,1350,503,61.514,139.59,39.45,-1,-1,-1,0
106,18,-1,1594,396,159.84,362.7,19.526,-1,-1,-1,0
107,18,-1,1836,541,33.737,76.557,16.959,-1,-1,-1,0
108,18,-1,1291,454,94.66,214.81,9.9689,-1,-1,-1,0
109,19,-1,1643,371,159.84,362.7,63.715,-1,-1,-1,0
110,19,-1,-52,254,270.83,614.58,52.829,-1,-1,-1,0
111,19,-1,1594,396,159.84,362.7,31.013,-1,-1,-1,0
112,19,-1,1349,490,73.864,167.61,31.0,-1,-1,-1,0
113,19,-1,1308,474,87.838,199.32,20.751,-1,-1,-1,0
114,19,-1,1838,543,30.903,70.127,11.683,-1,-1,-1,0
115,20,-1,1643,371,159.84,362.7,63.111,-1,-1,-1,0
116,20,-1,-52,254,270.83,614.58,55.834,-1,-1,-1,0
117,20,-1,1349,490,73.864,167.61,39.327,-1,-1,-1,0
118,20,-1,1594,396,159.84,362.7,33.805,-1,-1,-1,0
119,20,-1,1692,396,159.84,362.7,30.437,-1,-1,-1,0
120,20,-1,1308,474,87.838,199.32,13.999,-1,-1,-1,0
121,21,-1,1643,396,159.84,362.7,69.866,-1,-1,-1,0
122,21,-1,-52,254,270.83,614.58,52.643,-1,-1,-1,0
123,21,-1,1349,490,73.864,167.61,36.897,-1,-1,-1,0
124,21,-1,1594,371,159.84,362.7,24.467,-1,-1,-1,0
125,21,-1,1792,456,73.864,167.61,21.708,-1,-1,-1,0
126,21,-1,1314,468,79.918,181.35,16.32,-1,-1,-1,0
127,21,-1,298,463,103.17,234.13,9.1896,-1,-1,-1,0
128,22,-1,1643,354,175.68,398.65,71.576,-1,-1,-1,0
129,22,-1,-52,254,270.83,614.58,55.724,-1,-1,-1,0
130,22,-1,1349,490,73.864,167.61,33.171,-1,-1,-1,0
131,22,-1,1589,381,175.68,398.65,30.184,-1,-1,-1,0
132,22,-1,1792,456,73.864,167.61,17.312,-1,-1,-1,0
133,22,-1,1315,468,73.864,167.61,11.149,-1,-1,-1,0
134,23,-1,1619,396,159.84,362.7,74.939,-1,-1,-1,0
135,23,-1,-52,254,270.83,614.58,48.298,-1,-1,-1,0
136,23,-1,1349,490,73.864,167.61,35.903,-1,-1,-1,0
137,23,-1,1668,371,159.84,362.7,32.518,-1,-1,-1,0
138,23,-1,1326,479,73.864,167.61,25.98,-1,-1,-1,0
139,23,-1,1804,475,61.514,139.59,11.826,-1,-1,-1,0
140,24,-1,1619,396,159.84,362.7,77.047,-1,-1,-1,0
141,24,-1,1349,490,73.864,167.61,36.734,-1,-1,-1,0
142,24,-1,-10,254,270.83,614.58,34.067,-1,-1,-1,0
143,24,-1,1668,371,159.84,362.7,30.144,-1,-1,-1,0
144,24,-1,1840,532,36.723,83.333,28.766,-1,-1,-1,0
145,24,-1,1326,479,73.864,167.61,26.27,-1,-1,-1,0
146,24,-1,1810,535,33.737,76.557,13.281,-1,-1,-1,0
147,24,-1,1843,357,79.918,181.35,8.8267,-1,-1,-1,0
