,frame_id,object_id,x_coordinate,y_coordinate,width,height,confidence,x_init,y_init,z_init,video_id
0,0,1,1703,385,157,339,1,-1,-1,-1,0
1,0,3,1293,455,83,213,1,-1,-1,-1,0
2,0,4,259,449,101,261,1,-1,-1,-1,0
3,0,5,1253,529,55,127,1,-1,-1,-1,0
4,1,1,1699,383,159,341,1,-1,-1,-1,0
5,1,3,1293,455,83,213,1,-1,-1,-1,0
6,1,4,261,447,101,263,1,-1,-1,-1,0
7,1,5,1253,529,55,127,1,-1,-1,-1,0
8,2,1,1697,383,159,343,1,-1,-1,-1,0
9,2,3,1293,455,83,213,1,-1,-1,-1,0
10,2,4,263,447,101,263,1,-1,-1,-1,0
11,2,5,1255,529,55,127,1,-1,-1,-1,0
12,3,1,1695,383,159,343,1,-1,-1,-1,0
13,3,3,1293,455,83,213,1,-1,-1,-1,0
14,3,4,265,447,101,263,1,-1,-1,-1,0
15,3,5,1257,529,55,127,1,-1,-1,-1,0
16,4,1,1693,381,159,347,1,-1,-1,-1,0
17,4,3,1295,455,83,213,1,-1,-1,-1,0
18,4,4,267,447,101,263,1,-1,-1,-1,0
19,4,5,1259,529,55,129,1,-1,-1,-1,0
20,5,1,1689,381,161,349,1,-1,-1,-1,0
21,5,3,1297,455,83,213,1,-1,-1,-1,0
22,5,4,269,447,103,263,1,-1,-1,-1,0
23,5,5,1261,529,55,129,1,-1,-1,-1,0
24,6,1,1687,381,161,349,1,-1,-1,-1,0
25,6,3,1299,455,83,213,1,-1,-1,-1,0
26,6,4,271,447,103,263,1,-1,-1,-1,0
27,6,5,1263,529,55,129,1,-1,-1,-1,0
28,7,1,1685,379,161,353,1,-1,-1,-1,0
29,7,3,1301,455,83,213,1,-1,-1,-1,0
30,7,4,273,447,103,263,1,-1,-1,-1,0
31,7,5,1265,529,55,131,1,-1,-1,-1,0
32,8,1,1683,379,161,353,1,-1,-1,-1,0
33,8,3,1303,455,83,213,1,-1,-1,-1,0
34,8,4,275,447,103,263,1,-1,-1,-1,0
35,8,5,1267,529,53,131,1,-1,-1,-1,0
36,9,1,1679,379,163,355,1,-1,-1,-1,0
37,9,3,1305,455,83,213,1,-1,-1,-1,0
38,9,4,277,445,105,265,1,-1,-1,-1,0
39,9,5,1269,529,53,131,1,-1,-1,-1,0
40,10,1,1677,379,165,357,1,-1,-1,-1,0
41,10,3,1307,455,83,213,1,-1,-1,-1,0
42,10,4,279,445,105,265,1,-1,-1,-1,0
43,10,5,1271,529,53,133,1,-1,-1,-1,0
44,11,1,1675,377,165,359,1,-1,-1,-1,0
45,11,3,1309,455,83,213,1,-1,-1,-1,0
46,11,4,281,445,105,265,1,-1,-1,-1,0
47,11,5,1273,529,53,133,1,-1,-1,-1,0
48,12,1,1673,377,165,361,1,-1,-1,-1,0
49,12,3,1313,455,83,215,1,-1,-1,-1,0
50,12,4,283,445,105,265,1,-1,-1,-1,0
51,12,5,1273,529,55,133,1,-1,-1,-1,0
52,13,1,1669,377,167,361,1,-1,-1,-1,0
53,13,3,1315,455,83,215,1,-1,-1,-1,0
54,13,4,285,445,105,265,1,-1,-1,-1,0
55,13,5,1275,529,55,135,1,-1,-1,-1,0
56,14,1,1667,375,167,365,1,-1,-1,-1,0
57,14,3,1317,455,83,215,1,-1,-1,-1,0
58,14,4,287,445,107,265,1,-1,-1,-1,0
59,14,5,1277,529,55,135,1,-1,-1,-1,0
